Incident Id, CAD Id, Time, Type, Address, Latitude, Longitude, # of Rounds, District, Beat
25054,,2015-09-28 18:47:46,Single Gunshot,111 Fitzpatrick Ave,42.0941306521,-71.0312148208,1,,
25002,,2015-09-27 05:17:55,Single Gunshot,484 N Montello St,42.0956397429,-71.0175710911,1,,
25001,,2015-09-27 05:17:15,Single Gunshot,607 N Montello St,42.0987085315,-71.0177641031,1,,
24881,,2015-09-22 04:53:25,Single Gunshot,51 Massasoit Blvd,42.0793474927,-70.9901589086,1,,
24874,15-93668,2015-09-21 21:24:57,Multiple Gunshots,71 Foster St,42.0731486912,-71.0248734943,3,,
24840,,2015-09-20 19:37:01,Possible Gunfire,998 Main St,42.065599077,-71.0161137454,2,,
24837,,2015-09-20 19:04:20,Multiple Gunshots,66 Watson St,42.0558768971,-71.0119102891,2,,
24814,,2015-09-19 22:28:22,Possible Gunfire,Maple Ave,42.0807120749,-71.0196442381,3,,
24794,,2015-09-19 19:37:31,Multiple Gunshots,10 Walnut St,42.0868529863,-71.0227212996,13,,
24775,,2015-09-19 01:34:20,Single Gunshot,102 Highland St,42.0835067936,-71.0277698204,1,,
24012,,2015-09-16 01:39:50,Possible Gunfire,79 E Main St,42.09899167,-71.0191397681,1,,
23973,,2015-09-15 22:13:28,Possible Gunfire,50 Elliot St,42.0906282422,-71.0169736332,3,,
23838,,2015-09-14 03:59:31,Single Gunshot,5 W Park St,42.0771150561,-71.0222455304,1,,
23815,,2015-09-08 11:12:07,Multiple Gunshots,S Fuller St Ext & Johnson Sq,42.0736136619,-71.0254023346,14,,
23812,,2015-09-07 13:03:53,Possible Gunfire,12 Farrington St,42.0923352491,-71.0200237313,1,,
23763,,2015-08-28 19:49:40,Multiple Gunshots,88 Turner St,42.0906337573,-71.0221344761,4,,
23762,,2015-08-28 19:49:34,Multiple Gunshots,75 Turner St,42.0904106284,-71.0217876195,2,,
23757,,2015-08-24 20:52:40,Multiple Gunshots,Packard Way,42.0713391111,-71.0210981679,2,,
23728,,2015-08-20 00:32:25,Multiple Gunshots,26 Florence St,42.0721750448,-71.0199261771,11,,
23718,15-79772,2015-08-16 13:12:50,Multiple Gunshots,145 Prospect St,42.0915906131,-71.0262892266,9,,
23711,,2015-08-15 03:48:46,Multiple Gunshots,43 David St,42.0708117904,-71.0200788298,7,,
23710,,2015-08-15 03:20:07,Multiple Gunshots, ,42.071501956,-71.0197070623,5,,
23656,15-77183,2015-08-09 15:25:58,Possible Gunfire,22 Howard St,42.1059140979,-71.0255160229,1,,
23615,,2015-08-03 12:36:26,Multiple Gunshots, ,42.0725631801,-71.0211945231,5,,
23613,,2015-08-03 00:32:50,Multiple Gunshots, ,42.0733627017,-71.0215554878,6,,
23596,,2015-08-02 02:55:16,Multiple Gunshots,8 Crowell St,42.0883296985,-71.0219574698,11,,
23575,15-73603,2015-07-30 18:18:14,Multiple Gunshots,8 Appleton St,42.0892136851,-71.0229558013,4,,
23574,15-73603,2015-07-30 18:18:11,Multiple Gunshots,61 Wyman St,42.0890686895,-71.0223470346,5,,
23571,15-73231,2015-07-29 18:17:34,Multiple Gunshots, ,42.0776437221,-71.0264713856,9,,
23570,,2015-07-29 13:48:13,Multiple Gunshots,84 Woodbine St,42.0590448388,-71.0232430502,6,,
23565,,2015-07-28 00:39:31,Multiple Gunshots,26 Florence St,42.0715812168,-71.0197934571,7,,
23540,,2015-07-26 00:30:56,Single Gunshot,660 Montello St,42.0722004222,-71.0163602559,1,,
23513,,2015-07-24 04:12:40,Multiple Gunshots,20 Forest Ave,42.0729647624,-71.0195962835,11,,
23494,,2015-07-22 06:39:25,Possible Gunfire,363 N Main St,42.0932648445,-71.018843326,1,,
23450,15-69621,2015-07-19 20:29:20,Multiple Gunshots,140 French Ave,42.0638735068,-71.0204094791,2,,
23433,,2015-07-19 02:01:49,Multiple Gunshots,133 Turner St,42.091053896,-71.0217740553,4,,
23382,,2015-07-18 03:21:58,Single Gunshot,92 Waverly St,42.0905766742,-71.0218884109,1,,
23381,,2015-07-18 03:21:17,Multiple Gunshots,78 Turner St,42.0905317397,-71.0219779584,3,,
23380,15-69036,2015-07-17 22:53:24,Possible Gunfire,396 N Warren Ave,42.0935024768,-71.0267943986,2,,
23366,,2015-07-17 00:21:09,Multiple Gunshots,61 French Ave,42.0657242802,-71.0209729303,3,,
23363,,2015-07-15 04:52:48,Single Gunshot,24 Falmouth Ave,42.0900144298,-71.021321352,1,,
23322,15-67480,2015-07-13 19:23:25,Possible Gunfire,29 Farrington St,42.092427575,-71.0209900452,1,,
23290,,2015-07-12 04:27:13,Multiple Gunshots,65 Green St,42.0848720636,-71.0217810209,10,,
23120,,2015-07-08 02:31:55,Single Gunshot,Golden Circle,42.0873727742,-71.0259028269,1,,
21300,,2015-07-03 20:20:57,Multiple Gunshots,377 N Montello St,42.0934687088,-71.0170939645,2,,
20948,15-63063,2015-07-01 20:39:06,Possible Gunfire,68 Clinton Ave,42.0809603554,-71.0213400156,3,,
20771,,2015-06-28 21:54:52,Multiple Gunshots,168 Prospect St,42.0910855287,-71.0269447676,7,,
20688,,2015-06-27 04:00:23,Single Gunshot,77 Bolton Pl,42.0786351751,-71.0182379441,1,,
20687,,2015-06-27 02:55:54,Multiple Gunshots, ,42.058755891,-71.008811512,12,,
20452,,2015-06-18 21:58:58,Possible Gunfire,39 Spring St,42.0867899785,-71.0215337216,2,,
20429,,2015-06-14 02:55:52,Multiple Gunshots,64 Hillberg Ave,42.0660555773,-71.0230417898,11,,
20428,,2015-06-14 02:46:22,Single Gunshot,135 Forest Ave,42.0721279857,-71.0250169459,1,,
20391,,2015-06-11 05:00:58,Possible Gunfire,156 W Elm St,42.0819205842,-71.0251421101,1,,
20388,,2015-06-09 19:20:47,Possible Gunfire,1 Carroll Ave,42.0657154026,-71.021059833,3,,
20317,,2015-06-05 05:11:46,Multiple Gunshots, ,42.0728405846,-71.0169441731,3,,
20316,,2015-06-05 05:11:31,Multiple Gunshots,91 Packard St,42.0729234006,-71.0167905973,5,,
20248,,2015-05-25 10:47:47,Possible Gunfire,120 Green St,42.0844961045,-71.0229403681,2,,
20241,,2015-05-24 19:48:56,Multiple Gunshots,72 Spring St,42.0863648342,-71.0228561525,8,,
20239,,2015-05-24 01:21:25,Multiple Gunshots,985 Main St,42.0658048156,-71.016480419,8,,
20233,,2015-05-19 23:57:44,Multiple Gunshots, ,42.073960442,-71.0259966918,9,,
20232,,2015-05-19 23:54:12,Single Gunshot,9 Tribou St,42.0693003285,-71.018343736,1,,
20231,,2015-05-19 23:52:35,Single Gunshot,97 Chester Ave,42.076964899,-71.024000921,1,,
20230,,2015-05-19 23:52:20,Multiple Gunshots,119 Belmont St,42.0801774254,-71.0241971685,8,,
20224,,2015-05-17 03:57:55,Multiple Gunshots,19 Farrington St,42.0923878215,-71.0203803463,6,,
20206,15-46046,2015-05-16 02:24:29,Multiple Gunshots,69 South St,42.0632077589,-71.0180174985,4,,
20189,,2015-05-10 18:55:25,Multiple Gunshots,4 Cherry St,42.0916677243,-71.0248087624,6,,
20155,,2015-05-02 02:22:17,Multiple Gunshots,30 Farrington St,42.0921390944,-71.0211518275,3,,
20154,,2015-05-02 02:22:10,Single Gunshot,37 Farrington St,42.0926136408,-71.0214718072,1,,
20147,,2015-04-26 21:14:37,Possible Gunfire,7 Poole Ave,42.0570042247,-71.0186637917,4,,
20146,,2015-04-26 16:29:09,Single Gunshot, ,42.0864705143,-71.0272753137,1,,
20143,,2015-04-21 21:59:46,Multiple Gunshots, ,42.09198888,-71.0208303541,3,,
20137,,2015-04-18 21:51:05,Multiple Gunshots,61 Oakdale St,42.0898810085,-71.0284712248,2,,
20122,15-33796,2015-04-10 23:28:13,Multiple Gunshots, ,42.0781745713,-71.0235565511,4,,
20115,,2015-04-06 15:55:24,Multiple Gunshots,137 Warren Ave,42.0830343494,-71.0233096905,12,,
20112,,2015-04-04 02:53:38,Multiple Gunshots,53 French Ave,42.066140925,-71.0210830193,6,,
20111,,2015-04-02 23:29:23,Single Gunshot,43 Hillberg Ave,42.0664374081,-71.0220333442,1,,
20092,,2015-03-15 16:42:23,Multiple Gunshots,47 South St,42.0633416484,-71.0170987533,12,,
20087,,2015-03-14 03:11:01,Multiple Gunshots,14 Cottage St,42.079825731,-71.021680466,2,,
20086,,2015-03-13 06:54:41,Multiple Gunshots,54 Perkins Ave,42.0637597769,-71.0128832195,5,,
20067,,2015-02-07 05:36:11,Single Gunshot,101 Nilsson St,42.0671632391,-71.0214272489,1,,
20065,,2015-02-03 02:06:01,Multiple Gunshots,57 Bartlett St,42.0783427886,-71.0234578309,5,,
20045,,2015-02-01 03:05:26,Multiple Gunshots,652 Main St,42.0722282035,-71.018509717,4,,
20040,,2015-01-30 02:41:06,Multiple Gunshots,96 Glenwood St,42.0838063112,-71.0256988526,8,,
20039,,2015-01-29 23:52:30,Single Gunshot,79 Track St,42.0720547829,-71.0222463452,1,,
20038,,2015-01-25 18:08:36,Multiple Gunshots,11 Tremont St,42.0650101308,-71.0165481126,2,,
20031,,2015-01-21 01:01:19,Multiple Gunshots,82 Oakland Pl,42.0877540244,-71.0246174092,7,,
20017,,2015-01-06 21:44:34,Multiple Gunshots,45 Wyman St,42.0892305053,-71.0215935105,6,,
20016,,2015-01-04 16:58:23,Multiple Gunshots,15 Wyman St,42.0891118961,-71.0200577731,10,,
20015,,2015-01-04 14:41:12,Multiple Gunshots,22 Nason St,42.0678856677,-71.0239184539,12,,
19990,,2015-01-01 00:01:19,Multiple Gunshots,30 Farrington St,42.0921429979,-71.0211403441,2,,
19964,14-114572,2014-12-27 01:07:33,Multiple Gunshots,58 E Nilsson St,42.0683648766,-71.0150990064,2,,
19947,,2014-12-24 00:16:50,Multiple Gunshots,57 Waverly St,42.0907264626,-71.0214372245,3,,
19942,,2014-12-21 04:20:22,Single Gunshot,458 Main St,42.0762312923,-71.0194601609,1,,
19940,,2014-12-20 18:37:52,Single Gunshot,115 Legion Pkwy,42.0842907859,-71.0223747711,1,,
19934,14-107569,2014-12-06 01:08:44,Multiple Gunshots,22 Williams Pl,42.073859047,-71.0191726334,9,,
19929,,2014-11-23 05:08:42,Multiple Gunshots,1123 Montello St,42.0628379534,-71.0137960671,10,,
19928,,2014-11-17 00:56:34,Multiple Gunshots,10 Franklin St,42.0852590243,-71.0196552718,9,,
19920,,2014-11-16 03:19:12,Single Gunshot,572 Montello St,42.0739590799,-71.016948824,1,,
19895,,2014-11-01 03:20:31,Multiple Gunshots,4 Foster St,42.0735746242,-71.0215487403,6,,
19893,,2014-10-28 20:30:25,Possible Gunfire,9 King Ave,42.0980638071,-71.0179347276,2,,
19891,,2014-10-26 23:30:13,Multiple Gunshots,96 Park St,42.0772749539,-71.0220143164,4,,
19888,,2014-10-25 22:45:11,Single Gunshot,Market St & Rutland Sq,42.0627464701,-71.0165801877,1,,
19886,,2014-10-24 19:32:21,Multiple Gunshots,467 Warren Ave,42.0761422133,-71.0220670778,2,,
19884,,2014-10-20 00:43:01,Single Gunshot,50 Walnut St,42.0883430563,-71.0236389919,1,,
19875,,2014-10-12 22:49:03,Possible Gunfire,19 Hervey St,42.0743315031,-71.020034598,1,,
19851,,2014-09-19 23:08:38,Multiple Gunshots,54 Exchange St,42.0757547426,-71.0181055043,8,,
19850,,2014-09-18 02:50:32,Single Gunshot,75 E Main St,42.0985988839,-71.0190822907,1,,
19843,,2014-09-07 22:13:37,Multiple Gunshots,12 1st St,42.0694557532,-71.0225066544,6,,
19842,,2014-09-07 22:13:33,Multiple Gunshots,105 Nilsson St,42.0672304058,-71.0215717869,5,,
19841,,2014-09-07 14:27:04,Single Gunshot,591 N Montello St,42.0982320643,-71.017405256,1,,
19837,,2014-09-07 03:12:56,Multiple Gunshots,1118 Main St,42.0632108426,-71.0153295289,8,,
19822,,2014-09-06 13:23:22,Multiple Gunshots,25 Fuller St,42.0783857766,-71.0251532491,2,,
19821,,2014-09-06 13:23:13,Multiple Gunshots,42 Fuller St,42.0777626477,-71.0250360977,4,,
19819,,2014-09-04 02:33:16,Multiple Gunshots,20 Central Sq,42.0738432423,-71.0202195778,7,,
19776,,2014-08-20 01:36:44,Single Gunshot,28 Somerset Pl,42.0762456822,-71.0190377374,1,,
19739,14-66136,2014-08-11 00:32:12,Multiple Gunshots,467 Warren Ave,42.0761605946,-71.0219259825,8,,
19738,14-66136,2014-08-11 00:27:54,Multiple Gunshots,Lee Ct,42.0675154056,-71.0154802002,5,,
19737,14-66136,2014-08-11 00:27:50,Multiple Gunshots,17 Pinkham St,42.0654063384,-71.0154321262,3,,
19736,14-66136,2014-08-11 00:27:47,Multiple Gunshots,924 Montello St,42.0669060473,-71.0145838138,2,,
19735,14-66136,2014-08-11 00:27:39,Multiple Gunshots,948 Montello St,42.0662984201,-71.0144833541,10,,
19722,,2014-08-10 04:10:24,Multiple Gunshots,482 Warren Ave,42.0760009717,-71.0218177234,10,,
19713,,2014-08-09 02:54:49,Multiple Gunshots,32 Winthrop St,42.0762692245,-71.0211100281,6,,
19709,,2014-08-08 23:12:01,Multiple Gunshots,59 Denton St,42.0673831785,-71.0179441761,5,,
19698,,2014-08-06 22:30:03,Multiple Gunshots,115 Spring St,42.0863523865,-71.0248737025,2,,
19550,,2014-07-22 00:46:22,Multiple Gunshots,129 Green St,42.0846104892,-71.0237830045,11,,
19419,14-56637,2014-07-15 01:53:37,Single Gunshot,624 Montello St,42.0730847486,-71.0163728839,1,,
19379,,2014-07-12 21:34:54,Single Gunshot,139 Dover St,42.0745974208,-71.025728299,1,,
19377,,2014-07-12 21:34:33,Single Gunshot,143 Dover St,42.0745424754,-71.025885165,1,,
19360,,2014-07-12 20:52:55,Single Gunshot,68 Cushing Ave,42.0554132458,-71.0203536971,1,,
19290,,2014-07-10 04:43:56,Multiple Gunshots,Goddard Rd & Ellsworth Ave,42.0832289427,-71.0241417599,3,,
17313,,2014-07-01 01:35:36,Single Gunshot,991 Main St,42.0655400674,-71.0166256653,1,,
17262,,2014-06-29 01:21:33,Multiple Gunshots,98 French Ave,42.0646983756,-71.0202456102,9,,
17247,,2014-06-29 00:03:55,Possible Gunfire,126 Belmont St,42.0793706081,-71.0235491781,4,,
17150,,2014-06-28 02:28:11,Multiple Gunshots,823 Warren Ave,42.0688407632,-71.0206755742,3,,
17149,,2014-06-28 02:27:59,Single Gunshot,664 Warren Ave,42.0721271763,-71.021073367,1,,
17051,14-51036,2014-06-27 04:03:50,Single Gunshot,6 Annis Ave,42.0977272523,-71.0199827331,1,,
17048,14-51032,2014-06-27 02:45:37,Single Gunshot,583 N Main St,42.0977751012,-71.0196855943,1,,
17046,14-51015,2014-06-27 00:23:20,Multiple Gunshots,38 Wyman St,42.0890292502,-71.0209959125,8,,
16974,,2014-06-22 02:13:14,Multiple Gunshots,17 Nilsson St,42.0678026312,-71.0178222098,3,,
16935,14-49288,2014-06-21 05:42:27,Single Gunshot,536 N Main St,42.0965911719,-71.0194811966,1,,
16934,14-49287,2014-06-21 05:40:52,Single Gunshot,97 N Main St,42.087239786,-71.019359822,1,,
16932,14-49281,2014-06-21 04:14:03,Single Gunshot,93 Appleton St,42.0914796619,-71.0226761594,1,,
16922,,2014-06-20 05:42:04,Single Gunshot,16 Prospect St,42.0912454344,-71.0200523043,1,,
16921,,2014-06-20 05:41:44,Single Gunshot,145 N Main St,42.0883087303,-71.0189317442,1,,
16919,,2014-06-20 01:37:44,Single Gunshot,814 Main St,42.0694088251,-71.0172290219,1,,
16917,,2014-06-19 23:32:41,Multiple Gunshots,78 Turner St,42.0905688891,-71.0219722749,2,,
16901,,2014-06-16 10:41:58,Single Gunshot,70 Wyman St,42.0890376118,-71.0223683832,1,,
16824,,2014-06-14 05:18:20,Single Gunshot,87 Rosseter St,42.0897610927,-71.0190852212,1,,
16823,,2014-06-14 05:14:04,Possible Gunfire,4 Hancock St,42.0712788431,-71.0181951883,1,,
16812,14-46848,2014-06-13 05:35:27,Single Gunshot,99 N Main St,42.0872988752,-71.019483924,1,,
16809,14-46484,2014-06-11 19:44:54,Single Gunshot,49 Allen St,42.0783001276,-71.0179773645,1,,
16808,14-46484,2014-06-11 19:43:32,Single Gunshot,84 Bolton Pl,42.0785188999,-71.0181087794,1,,
16803,,2014-06-09 03:36:54,Single Gunshot,27 Nilsson St,42.0678144786,-71.0181934207,1,,
16802,,2014-06-09 03:28:43,Multiple Gunshots,79 Prospect St,42.0916644775,-71.0228195519,3,,
16801,,2014-06-09 00:46:54,Multiple Gunshots,144 W Chestnut St,42.0629041245,-71.0218844035,2,,
16786,14-45291,2014-06-08 01:42:57,Single Gunshot,Myrtle St & 2nd St,42.0702954784,-71.0242199326,1,,
16721,14-45017,2014-06-07 07:07:45,Single Gunshot,15 Waverly St,42.0908704071,-71.0200639844,1,,
16720,14-45017,2014-06-07 07:07:14,Single Gunshot,N Main St,42.086290678,-71.0194353272,1,,
16719,14-45005,2014-06-07 04:13:44,Single Gunshot,70 N Warren Ave,42.0872153674,-71.02414708,1,,
16706,14-43712,2014-06-03 05:38:15,Single Gunshot,341 N Main St,42.0927685623,-71.0190160649,1,,
16689,14-42850,2014-05-31 05:36:13,Single Gunshot,25 Green St,42.0850908939,-71.0205882101,1,,
16682,,2014-05-29 05:36:17,Single Gunshot,100 N Main St,42.0878250078,-71.0194424172,1,,
16640,,2014-05-21 05:11:53,Single Gunshot,110 Wyman St,42.0888719772,-71.0236139763,1,,
16639,,2014-05-21 01:22:06,Multiple Gunshots,90 Fuller St,42.0763730469,-71.024939379,2,,
16638,14-39285,2014-05-19 05:35:33,Single Gunshot,60 N Main St,42.0869838287,-71.0196640577,1,,
16627,,2014-05-17 00:53:31,Single Gunshot,Glenwood St & Pleasant St,42.0870308247,-71.0259499833,1,,
16621,14-37152,2014-05-12 01:06:09,Single Gunshot,114 Harvard St,42.0752337534,-71.0229848296,1,,
16620,14-37130,2014-05-11 22:39:00,Single Gunshot,169 Green St,42.0845753152,-71.025483611,1,,
16597,14-34475,2014-05-03 02:15:37,Single Gunshot,112 Laureston St,42.0686619549,-71.018855322,1,,
16568,,2014-04-17 00:18:36,Single Gunshot,90 Pleasant St,42.0856064197,-71.0227766185,1,,
16564,,2014-04-13 03:55:04,Multiple Gunshots,70 Turner St,42.0902399585,-71.02196773,8,,
16563,,2014-04-12 05:20:09,Single Gunshot,66 Wyman St,42.0890384011,-71.0222476806,1,,
16562,,2014-04-12 05:19:59,Single Gunshot,35 Turner St,42.0891564453,-71.0219012608,1,,
16560,14-28157,2014-04-11 01:28:14,Multiple Gunshots,3 Fitzpatrick Ave,42.0944741877,-71.0278273137,2,,
16552,,2014-03-23 03:15:29,Multiple Gunshots,74 Moreland St,42.084763367,-71.0275885383,3,,
16547,14-21263,2014-03-18 22:16:54,Possible Gunfire,3 Father Kenney Way,42.0786819891,-71.0201000375,1,,
